from,to,text,where,time,movie_num,text_processed
nute,darth sidious,And the Jedi?,INT. FEDERATION BATTLESHIP - BRIDGE,27,1,and the jedi
darth sidious,nute,The chancellor should never have brought them into this. Kill them immediately.,INT. FEDERATION BATTLESHIP - BRIDGE,108,1,the chancellor should never have brought them into this kill them immediately
nute,darth sidious,"Yes, my lord. As you wish.",INT. FEDERATION BATTLESHIP - BRIDGE,54,1,yes my lord as you wish
pilot,captain,"Captain, look!",INT. REPUBLIC CRUISER - COCKPIT,18,1,captain look
captain,qui-gon,Shields up!,INT. REPUBLIC CRUISER - COCKPIT,18,1,shields up
tc-14,qui-gon,Sorry.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,9,1,sorry
qui-gon,obi-wan,Dioxis.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,9,1,dioxis
nute,owo-1,"They must be dead by now. Blast, what's left of them.",INT. FEDERATION BATTLESHIP - HALLWAY,99,1,they must be dead by now blast whats left of them
tc14,,"Oh, excuse me, so sorry.",INT. FEDERATION BATTLESHIP - HALLWAY,45,1,oh excuse me so sorry
owo-1,caporal,"Check it out, Corporal. We'll cover you.",INT. FEDERATION BATTLESHIP - HALLWAY,63,1,check it out corporal well cover you
caporal,owo-1,"Roger, roger.",INT. FEDERATION BATTLESHIP - HALLWAY,18,1,roger roger
owo-1,caporal,Blast them.,INT. FEDERATION BATTLESHIP - HALLWAY,18,1,blast them
nute,tey how,What in blazes is going on down there?,INT. FEDERATION BATTLESHIP - BRIDGE,72,1,what in blazes is going on down there
tey how,nute,"We lost the transmission, sir.",INT. FEDERATION BATTLESHIP - BRIDGE,45,1,we lost the transmission sir
rune,nute,"Have you ever encountered a Jedi Knight before, sir?",INT. FEDERATION BATTLESHIP - BRIDGE,81,1,have you ever encountered a jedi knight before sir
nute,rune,"Well, not exactly, but I don't seal off the bridge.",INT. FEDERATION BATTLESHIP - BRIDGE,90,1,well not exactly but i dont seal off the bridge
rune,nute,"That won't be enough, sir.",INT. FEDERATION BATTLESHIP - BRIDGE,45,1,that wont be enough sir
nute,rune,I want destroyer droids up here at once!,INT. FEDERATION BATTLESHIP - BRIDGE,72,1,i want destroyer droids up here at once
rune,nute,We will not survive this.,INT. FEDERATION BATTLESHIP - BRIDGE,45,1,we will not survive this
nute,tey how,Close the blast doors!,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,close the blast doors
nute,tey how,That will hold them.,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,that will hold them
rune,nute,They're still coming through!,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,theyre still coming through
nute,rune,Impossible! This is impossible!,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,impossible this is impossible
rune,nute,Where are those destroyer droids?!,INT. FEDERATION BATTLESHIP - BRIDGE,45,1,where are those destroyer droids
obi-wan,qui-gon,Master! Destroyers!,INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE,18,1,master destroyers
obi-wan,qui-gon,They have shield generators!,INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE,36,1,they have shield generators
qui-gon,obi-wan,It's a standoff. Let's go.,INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE,45,1,its a standoff lets go
rune,nute,They're no match for destroyer droids.,INT. FEDERATION BATTLESHIP - BRIDGE,54,1,theyre no match for destroyer droids
tey how,nute,"Sir, they've gone up the ventilation shaft.",INT. FEDERATION BATTLESHIP - BRIDGE,63,1,sir theyve gone up the ventilation shaft
qui-gon,obi-wan,Battle droids.,INT. FEDERATION BATTLESHIP - MAIN BAY,18,1,battle droids
obi-wan,qui-gon,It's an invasion army.,INT. FEDERATION BATTLESHIP - MAIN BAY,36,1,its an invasion army
qui-gon,obi-wan,It's an odd play for the Trade Federation. We've got to warn the Naboo and contact Chancellor Valorum. Let's split up. Stow aboard separate ships and meet down on the planet.,INT. FEDERATION BATTLESHIP - MAIN BAY,279,1,its an odd play for the trade federation weve got to warn the naboo and contact chancellor valorum lets split up stow aboard separate ships and meet down on the planet
obi-wan,qui-gon,"You were right about one thing, Master. The negotiations were short.",INT. FEDERATION BATTLESHIP - MAIN BAY,99,1,you were right about one thing master the negotiations were short
tey how,nute,"Sir, a transmission from the planet.",INT. FEDERATION BATTLESHIP - BRIDGE,54,1,sir a transmission from the planet
rune,nute,It's Queen Amidala herself.,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,its queen amidala herself
nute,rune,At last we're getting results.,INT. FEDERATION BATTLESHIP - BRIDGE,45,1,at last were getting results
nute,nute,"Again you come before me, Your highness.",INT. FEDERATION BATTLESHIP - BRIDGE,63,1,again you come before me your highness
amidala,nute,"You will not be pleased when you hear what I have to say, Viceroy Your trade boycott of our planet has ended.",INT. FEDERATION BATTLESHIP - BRIDGE,198,1,you will not be pleased when you hear what i have to say viceroy your trade boycott of our planet has ended
nute,amidala,I was not aware of such a failure.,INT. FEDERATION BATTLESHIP - BRIDGE,72,1,i was not aware of such a failure
amidala,nute,I have word that the chancellor's ambassadors are with you now and that you have been commanded to reach settlement.,INT. FEDERATION BATTLESHIP - BRIDGE,180,1,i have word that the chancellors ambassadors are with you now and that you have been commanded to reach settlement
nute,amidala,I know nothing of any ambassadors. You must be mistaken.,INT. FEDERATION BATTLESHIP - BRIDGE,90,1,i know nothing of any ambassadors you must be mistaken
amidala,nute,"Beware, Viceroy the Federation is going too far this time.",INT. FEDERATION BATTLESHIP - BRIDGE,90,1,beware viceroy the federation is going too far this time
nute,amidala,We would never do anything without the approval of the senate. You assume too much.,INT. FEDERATION BATTLESHIP - BRIDGE,135,1,we would never do anything without the approval of the senate you assume too much
amidala,nute,We will see.,INT. FEDERATION BATTLESHIP - BRIDGE,27,1,we will see
rune,nute,"She's right, the Senate will never",INT. FEDERATION BATTLESHIP - BRIDGE,54,1,shes right the senate will never
nute,rune,It's too late now.,INT. FEDERATION BATTLESHIP - BRIDGE,36,1,its too late now
rune,nute,Do you think she suspects an attack?,INT. FEDERATION BATTLESHIP - BRIDGE,63,1,do you think she suspects an attack
nute,nute,"I don't know, but we must move quickly to disrupt all communications down there.",INT. FEDERATION BATTLESHIP - BRIDGE,126,1,i dont know but we must move quickly to disrupt all communications down there
palpatine,amidala,Negotiations haven't started because the ambassadors aren't there? How could that be true? I have assurances from the chancellor his ambassadors did arrive. It must handiwork negotiate ambassadors,INT. NABOO PALACE - THRONE ROOM,252,1,negotiations havent started because the ambassadors arent there how could that be true i have assurances from the chancellor his ambassadors did arrive it must handiwork negotiate ambassadors
amidala,palpatine,Senator Palpatine?!? What's happening?,INT. NABOO PALACE - THRONE ROOM,36,1,senator palpatine whats happening
capt. panaka,controller,Check the transmission generators,INT. NABOO PALACE - THRONE ROOM,36,1,check the transmission generators
bibble,amidala,A communications disruption can mean only one thing: invasion.,INT. NABOO PALACE - THRONE ROOM,81,1,a communications disruption can mean only one thing invasion
capt. panaka,amidala,It could be the Federation jamming us. Your Highness.,INT. NABOO PALACE - THRONE ROOM,81,1,it could be the federation jamming us your highness
bibble,amidala,A communications disruption can only mean one thing. Invasion.,INT. NABOO PALACE - THRONE ROOM,81,1,a communications disruption can only mean one thing invasion
amidala,bibble,The Federation would not dare go that far.,INT. NABOO PALACE - THRONE ROOM,72,1,the federation would not dare go that far
capt. panaka,amidala,"The Senate would revoke their trade franchise, and they'd be finished.",INT. NABOO PALACE - THRONE ROOM,99,1,the senate would revoke their trade franchise and theyd be finished
amidala,bibble,We must continue to rely on negotiation.,INT. NABOO PALACE - THRONE ROOM,63,1,we must continue to rely on negotiation
bibble,amidala,Negotiation? We've lost all communications! and where are the Chancellors Ambassadors?,INT. NABOO PALACE - THRONE ROOM,99,1,negotiation weve lost all communications and where are the chancellors ambassadors
capt. panaka,amidala,"This is a dangerous situation, Your Highness. Our security volunteers will be no match against a battle-hardened Federation army.",INT. NABOO PALACE - THRONE ROOM,171,1,this is a dangerous situation your highness our security volunteers will be no match against a battlehardened federation army
amidala,capt. panaka,I will not condone a course of action that will lead us to war.,INT. NABOO PALACE - THRONE ROOM,126,1,i will not condone a course of action that will lead us to war
oom-9,nute,"Yes, Viceroy ?",EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX),27,1,yes viceroy 
rune,oom-9,"Captain, we've searched the ship and there is no trace of the Jedi. They may have gotten on one of your landing craft.",EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX),207,1,captain weve searched the ship and there is no trace of the jedi they may have gotten on one of your landing craft
oom-9,nute,"If they are down here, sir, we'll find them.",EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX),81,1,if they are down here sir well find them
nute,oom-9,Use caution. These Jedi are not to be underestimated.,EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX),81,1,use caution these jedi are not to be underestimated
jar jar,qui-gon,"Oh, noooooooooo!",EXT. NABOO SWAMP - TWILIGHT,18,1,oh noooooooooo
qui-gon,jar jar,Get away! Get out of here! Get down!,EXT. NABOO SWAMP - TWILIGHT,72,1,get away get out of here get down
jar jar,qui-gon,"Was'n dat? Hey, wait! Oh, mooie-mooie, I love you.",EXT. NABOO SWAMP - TWILIGHT,81,1,wasn dat hey wait oh mooiemooie i love you
qui-gon,jar jar,Are you brainless? You almost got us killed!,EXT. NABOO SWAMP - TWILIGHT,72,1,are you brainless you almost got us killed
jar jar,qui-gon,I spake.,EXT. NABOO SWAMP - TWILIGHT,18,1,i spake
qui-gon,jar jar,The ability to speak does not make you intelligent. Now get outta here!,EXT. NABOO SWAMP - TWILIGHT,117,1,the ability to speak does not make you intelligent now get outta here
jar jar,qui-gon,No no! Mesa stay Mesa yous humble servaunt.,EXT. NABOO SWAMP - TWILIGHT,72,1,no no mesa stay mesa yous humble servaunt
qui-gon,jar jar,That wont be necessary.,EXT. NABOO SWAMP - TWILIGHT,36,1,that wont be necessary
jar jar,qui-gon,"Oh boot tis! Tis demunded byda guds. Tis a live debett, tis. Mesa culled Jaja Binkss.",EXT. NABOO SWAMP - TWILIGHT,144,1,oh boot tis tis demunded byda guds tis a live debett tis mesa culled jaja binkss
qui-gon,jar jar,Stay down!,EXT. NABOO SWAMP - TWILIGHT,18,1,stay down
obi-wan,qui-gon,What's this?,EXT. NABOO SWAMP - TWILIGHT,18,1,whats this
qui-gon,obi-wan,A local. Let's get out of here before more droids show up.,EXT. NABOO SWAMP - TWILIGHT,108,1,a local lets get out of here before more droids show up
jar jar,qui-gon,"More? ""More"" did you spake? Ex-squeeze-me, but de mostest safest place would be Gunga City.",EXT. NABOO SWAMP - TWILIGHT,135,1,more more did you spake exsqueezeme but de mostest safest place would be gunga city
qui-gon,jar jar,A city! Can you take us there?,EXT. NABOO SWAMP - TWILIGHT,63,1,a city can you take us there
jar jar,qui-gon,"Ahhh, will on second taut no, not willy.",EXT. NABOO SWAMP - TWILIGHT,72,1,ahhh will on second taut no not willy
qui-gon,jar jar,No?!,EXT. NABOO SWAMP - TWILIGHT,9,1,no
jar jar,qui-gon,"Iss embarrissing, boot My afrai my've bean banished. My forgoten der Bosses would do terrible tings to my. Terrible tings if my goen back dare.",EXT. NABOO SWAMP - TWILIGHT,225,1,iss embarrissing boot my afrai myve bean banished my forgoten der bosses would do terrible tings to my terrible tings if my goen back dare
qui-gon,jar jar,You hear that? That's the sound of a thousand terrible things heading this way,EXT. NABOO SWAMP - TWILIGHT,126,1,you hear that thats the sound of a thousand terrible things heading this way
obi-wan,jar jar,"When they find us, they will crush us, grind us into little pieces, then blast us into oblivion!",EXT. NABOO SWAMP - TWILIGHT,162,1,when they find us they will crush us grind us into little pieces then blast us into oblivion
jar jar,qui-gon,Oh! Yousa point is well seen. Dis way! Hurry!,EXT. NABOO SWAMP - TWILIGHT,81,1,oh yousa point is well seen dis way hurry
qui-gon,jar jar,Much farther?,EXT. NABOO SWAMP LAKE - TWILIGHT,18,1,much farther
jar jar,qui-gon,"Wesa goen underwater, okeyday? My warning yous. Gungans no liken outlaunders. Don't expict a wern welcome.",EXT. NABOO SWAMP LAKE - TWILIGHT,144,1,wesa goen underwater okeyday my warning yous gungans no liken outlaunders dont expict a wern welcome
obi-wan,jar jar,"Don't worry, this has not been our day for warm welcomes.",EXT. NABOO SWAMP LAKE - TWILIGHT,99,1,dont worry this has not been our day for warm welcomes
jar jar,qui-gon,"Yousa follow me now, okeyday?",EXT. NABOO SWAMP LAKE - TWILIGHT,45,1,yousa follow me now okeyday
jar jar,qui-gon,"Yousa follow me now, okeyday?",EXT. NABOO SWAMP LAKE - TWILIGHT,45,1,yousa follow me now okeyday
jar jar,qui-gon,"Yousa follow me now, okeyday?",EXT. NABOO SWAMP LAKE - TWILIGHT,45,1,yousa follow me now okeyday
capt. tarpals,jar jar,"Hey, yousa. Stopa dare.",INT. OTOH GUNGA - CITY SQUARE,36,1,hey yousa stopa dare
jar jar,capt. tarpals,"Heyo-dales, Cap'n Tarpals. Mesa back.",INT. OTOH GUNGA - CITY SQUARE,45,1,heyodales capn tarpals mesa back
capt. tarpals,jar jar,"Noah gain, Jar Jar. Yousa goen tada Bosses. Yousa in big dudu this time.",INT. OTOH GUNGA - CITY SQUARE,126,1,noah gain jar jar yousa goen tada bosses yousa in big dudu this time
jar jar,capt. tarpals,How wude.,INT. OTOH GUNGA - CITY SQUARE,18,1,how wude
boss nass,qui-gon,Yousa cannot bees hair. Dis army of mackineeks up dare tis new weesong!,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,117,1,yousa cannot bees hair dis army of mackineeks up dare tis new weesong
qui-gon,boss nass,That droid army is about to attack the Naboo. We must warn them.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,117,1,that droid army is about to attack the naboo we must warn them
boss nass,qui-gon,Wesa no like da Naboo! Un dey no like uss-ens. Da Naboo tink day so smarty den us-ens. Day tink day brains so big.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,216,1,wesa no like da naboo un dey no like ussens da naboo tink day so smarty den usens day tink day brains so big
obi-wan,boss nass,"After those droids take control of the surface, they will come here and take control of you.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,153,1,after those droids take control of the surface they will come here and take control of you
boss nass,obi-wan,"No, mesa no tink so. Mesa scant talkie witda Naboo, and no nutten talkie it outlaunders. Dos mackineeks no comen here! Dey not know of uss-en.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,234,1,no mesa no tink so mesa scant talkie witda naboo and no nutten talkie it outlaunders dos mackineeks no comen here dey not know of ussen
obi-wan,boss nass,You and the Naboo form a symbiont circle. What happens to one of you will affect the other. You must understand this.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,198,1,you and the naboo form a symbiont circle what happens to one of you will affect the other you must understand this
boss nass,obi-wan,"Wesa wish no nutten in yousa tings, outlaunder, and wesa no care-n about da Naboo.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,135,1,wesa wish no nutten in yousa tings outlaunder and wesa no caren about da naboo
qui-gon,boss nass,Then speed us on our way.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,54,1,then speed us on our way
boss nass,qui-gon,Wesa gonna speed yousaway.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,36,1,wesa gonna speed yousaway
qui-gon,boss nass,We need a transport.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,36,1,we need a transport
boss nass,qui-gon,Wesa give yousa una bongo. Da speedest way tooda Naboo tis goen through da core. Now go.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,153,1,wesa give yousa una bongo da speedest way tooda naboo tis goen through da core now go
qui-gon,boss nass,Thank you for your help. We go in peace.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,81,1,thank you for your help we go in peace
obi-wan,qui-gon,"Master, whats a bongo?",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,36,1,master whats a bongo
qui-gon,obi-wan,"A transport, I hope.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,36,1,a transport i hope
jar jar,qui-gon,Daza setten yous up. Goen through da planet core is bad bombin!,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,108,1,daza setten yous up goen through da planet core is bad bombin
obi-wan,qui-gon,"We are short of time, Master.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,54,1,we are short of time master
qui-gon,obi-wan,We'll need a navigator to get us through the planet's core. This Gungan my be of help.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,153,1,well need a navigator to get us through the planets core this gungan my be of help
qui-gon,boss nass,What is to become of Jar Jar Binks here?,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,81,1,what is to become of jar jar binks here
boss nass,qui-gon,Binkss brokeen the nocombackie law. Hisen to be pune-ished.,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,81,1,binkss brokeen the nocombackie law hisen to be puneished
qui-gon,boss nass,"I saved his life. He owes me what you call a ""life-debt."" Your gods demand that his life belongs to me now.",INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,207,1,i saved his life he owes me what you call a lifedebt your gods demand that his life belongs to me now
boss nass,jar jar,Binks. Yousa havena liveplay with thisen hisen?,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,63,1,binks yousa havena liveplay with thisen hisen
boss nass,qui-gon,Begone wit him!,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,27,1,begone wit him
jar jar,qui-gon,Count me outta dis one. Better dead here than dead in da core. Yee gods! What mesa sayin?,INT. OTOH GUNGA - HIGH TOWER BOARD ROOM,162,1,count me outta dis one better dead here than dead in da core yee gods what mesa sayin
jar jar,obi-wan,"DDis is nutsen. Oh, gooberfish!",INT. SUB COCKPIT - UNDERWATER,45,1,ddis is nutsen oh gooberfish
obi-wan,jar jar,"Why were you banished, Jar Jar?",INT. SUB COCKPIT - UNDERWATER,54,1,why were you banished jar jar
jar jar,obi-wan,"Tis a long tale, buta small part wawdabe mesa ooooh aaaa clumsy.",INT. SUB COCKPIT - UNDERWATER,108,1,tis a long tale buta small part wawdabe mesa ooooh aaaa clumsy
obi-wan,jar jar,They banished you because you're clumsy?,INT. SUB COCKPIT - UNDERWATER,54,1,they banished you because youre clumsy
jar jar,obi-wan,"Mesa cause-ed mabee one or duey lettal bitty axadentes yud-say boom da gasser, un crash Der Bosses heyblibber den banished.",INT. SUB COCKPIT - UNDERWATER,180,1,mesa causeed mabee one or duey lettal bitty axadentes yudsay boom da gasser un crash der bosses heyblibber den banished
qui-gon,obi-wan,There's always a bigger fish.,INT. SUB COCKPIT - UNDERWATER,45,1,theres always a bigger fish
jar jar,obi-wan,Mesa tink we goen back now.,INT. SUB COCKPIT - UNDERWATER,54,1,mesa tink we goen back now
nute,darth sidious,"The invasion is on schedule, My Lord.",INT. FEDERATION BATTLESHIP - BRIDGE,63,1,the invasion is on schedule my lord
darth sidious,nute,"I have the Senate bogged down in procedures. By the time this incident comes up for a vote, they will have no choice but to accept your control of the system.",INT. FEDERATION BATTLESHIP - BRIDGE,279,1,i have the senate bogged down in procedures by the time this incident comes up for a vote they will have no choice but to accept your control of the system
nute,darth sidious,The Queen has great faith the Senate will side with her.,INT. FEDERATION BATTLESHIP - BRIDGE,99,1,the queen has great faith the senate will side with her
darth sidious,nute,Queen Amidala is yound and naive. You will find controlling her will not be difficult.,INT. FEDERATION BATTLESHIP - BRIDGE,135,1,queen amidala is yound and naive you will find controlling her will not be difficult
nute,darth sidious,"Thank you, My Lord.",INT. FEDERATION BATTLESHIP - BRIDGE,36,1,thank you my lord
rune,nute,You didn't tell him about the missing Jedi?,INT. FEDERATION BATTLESHIP - BRIDGE,72,1,you didnt tell him about the missing jedi
nute,rune,"No need to report that to him, until we have something to report.",INT. FEDERATION BATTLESHIP - BRIDGE,117,1,no need to report that to him until we have something to report
jar jar,qui-gon,Where wesa goin?,INT. SUB COCKPIT - UNDERWATER,27,1,where wesa goin
qui-gon,jar jar,Don't worry. The Force will guide us.,INT. SUB COCKPIT - UNDERWATER,63,1,dont worry the force will guide us
jar jar,qui-gon,"Oh, maxi big, da Force. Well, dat smells stinkowiff.",INT. SUB COCKPIT - UNDERWATER,81,1,oh maxi big da force well dat smells stinkowiff
obi-wan,,we're losing power.,INT. SUB COCKPIT - UNDERWATER,27,1,were losing power
jar jar,qui-gon,Oh no! Wesa dyin' here.,INT. SUB COCKPIT - UNDERWATER,45,1,oh no wesa dyin here
qui-gon,jar jar,Just relax. We're not in trouble yet.,INT. SUB COCKPIT - UNDERWATER,63,1,just relax were not in trouble yet
jar jar,qui-gon,"What yet? Monstairs out dare! Leak'n in here, all'n sink'n, and nooooo power! You nutsen! WHEN YOUSA TINK WESA IN TROUBLE?!?",INT. SUB COCKPIT - UNDERWATER,189,1,what yet monstairs out dare leakn in here alln sinkn and nooooo power you nutsen when yousa tink wesa in trouble
obi-wan,qui-gon,Power's back.,INT. SUB COCKPIT - UNDERWATER,18,1,powers back
jar jar,obi-wan,Monstairs back!,INT. SUB COCKPIT - UNDERWATER,18,1,monstairs back
qui-gon,jar jar,Relax.,INT. SUB COCKPIT - UNDERWATER,9,1,relax
obi-wan,qui-gon,You overdid it.,INT. SUB COCKPIT - UNDERWATER,27,1,you overdid it
qui-gon,obi-wan,Head for that outcropping.,INT. SUB COCKPIT - UNDERWATER,36,1,head for that outcropping
jar jar,qui-gon,Wesa dead yet? Oie Boie!,INT. SUB COCKPIT - UNDERWATER,45,1,wesa dead yet oie boie
oom-9,nute,"Viceroy, we have captured the queen.",EXT. THEED PLAZA - DAY,54,1,viceroy we have captured the queen
nute,rune,"Ah, victory!",EXT. THEED PLAZA - DAY,18,1,ah victory
jar jar,obi-wan,Wesa dude it!,INT. NABOO LAKE - UNDERWATER - SUB (FX),27,1,wesa dude it
bibble,nute,how will you explain this invasion to the Senate?,INT. THEED - PALACE THRONE ROOM - DAY,81,1,how will you explain this invasion to the senate
nute,bibble,The Naboo and the Federation will forge a treaty that will legitimize our occupation here. I've been assured it will be ratified by the Senate.,INT. THEED - PALACE THRONE ROOM - DAY,225,1,the naboo and the federation will forge a treaty that will legitimize our occupation here ive been assured it will be ratified by the senate
amidala,nute,I will not co-operate.,INT. THEED - PALACE THRONE ROOM - DAY,36,1,i will not cooperate
nute,amidala,"Now, now, your Highness. You are not going to like what we have in store for your people. In time, their suffering will persuade you to see our point of view. Commander. Process them.",INT. THEED - PALACE THRONE ROOM - DAY,306,1,now now your highness you are not going to like what we have in store for your people in time their suffering will persuade you to see our point of view commander process them
oom-9,oom-captain,"Yes, sir! Take them to Camp Four.",INT. THEED - PALACE THRONE ROOM - DAY,63,1,yes sir take them to camp four
qui-gon,amidala,"We should leave the street, Your Highness.",EXT. PALACE - PLAZA - DAY,63,1,we should leave the street your highness
capt. panaka,soldier,Get their weapons.,EXT. PALACE - PLAZA - DAY,27,1,get their weapons
jar jar,qui-gon,Yousa guys bombad!,EXT. PALACE - PLAZA - DAY,27,1,yousa guys bombad
qui-gon,amidala,"Your Highness, we are the Ambassadors, for the Supreme Chancellor.",EXT. PALACE - PLAZA - DAY,90,1,your highness we are the ambassadors for the supreme chancellor
bibble,qui-gon ,Your negotiations seem,EXT. PALACE - PLAZA - DAY,0,1,your negotiations seem
