name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
459,,,Bedlam Raiders,Masculine programming,,,,,"9 BBY,",,,Battle droid
49-v99 Deflector,Deflector shield generator,,Galactic Empire,,,,,,,,,
4A-2R,,,Ohnaka Gang,,He/him,,,,,,,Protocol droid
4B-EG-6,,,Resistance,Masculine programming,He/him,,,,,,,Power droid
4D-M1N,,,Resistance,,She/her,,,,"34 ABY,",,,Protocol droid
4D6-J-A7,,,Galactic Empire,Feminine programming,She/her,,,,,,,Protocol droid
4j.4 fusial thrust engine,Engine,,Alliance to Restore the Republic,,,,,,,,,
4L4 fusial thrust engine,Engine,,Alliance to Restore the Republic,,,,,,,,,
5-L,,,First Order,,,,,,,,,Maintenance droid
5L5 fusial thrust engine,Engine,,Resistance,,,,,,,,,
6-2Aug2 hunting rifle,Slugthrower rifle,,Lawquanes,,,,,,,,,
6-RA-7,,,Galactic Empire,Feminine programming,She/her,,,,,,,Protocol droid
614-AvA speeder bike,Speeder bike,,Galactic Empire,,,,,,,,,
67e fusion core,Fusion generator,,Resistance,,,,,,,,,
6G-66,,,Resistance,,,,,,,,,Astromech droid
720 light freighter,Light freighter,,Citizens' Fleet,,,,,,,,,
74-Z speeder bike,Speeder bike,,Galactic Republic,,,,,,,,,
773,Walker,,Galactic Republic,,,,,,,,,
773 Firepuncher sniper rifle,Sniper rifle,,Galactic Republic,,,,,,,,,
88i twin light blaster cannon,Blaster cannon,,Galactic Empire,,,,,,,,,
8D-J8,,,Ronto Roasters,,He/him,,,,,,,Smelter droid
8D8,,,Hutt Clan,,He/him,,,Tatooine,,,,Smelter droid
9D9-s54 Dianoga spy droid,,,Galactic Empire,,,,,,,,,Spy droid
A-180 blaster,Reconfigurable blaster,,Alliance to Restore the Republic,,,,,,,,,
A-A4B truckspeeder,Landspeeder,,White Worms,,,,,,,,,
A-A5 Speeder Truck,Speeder truck,,Alliance to Restore the Republic,,,,,,,,,
A-series,Blaster rifle,,Alliance to Restore the Republic,,,,,,,,,
A-wing starfighter,Starfighter,,Bail Organa's resistance movement,,,,,,,,,
A/SF-01 B-wing starfighter,Heavy assault starfighter,,Phoenix Cell,,,,,,,,,
A140 blaster pistol,Blaster pistol,,Onderon rebels,,,,,,,,,
A280 blaster rifle,Blaster rifle,,Galactic Empire,,,,,,,,,
A280-CFE convertible heavy blaster pistol,Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
A280C blaster rifle,Blaster rifle,,Galactic Empire,,,,,,,,,
A300 blaster rifle,Blaster rifle,,Pyke Syndicate,,,,,,,,,
A4-J4,,,,,She/her,,,,,,,Astromech droid
AA-70 observation and command speeder,Landspeeder,,Alliance to Restore the Republic,,,,,,,,,
AA-9 Freighter-Liner,Freighter,,Galactic Republic,,,,,,,,,
AAT Driver Battle Droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
AB-75 bo-rifle,Blaster rifle,,Lasan High Honor Guard,,,,,,,,,
Abecederian line,Shuttles,,Galactic Republic,,,,,,,,,
Absolution,Battlecruiser,,First Order,,,,,,,,,
Acclamator-class transgalactic military assault ship,Cruiser-class,,Galactic Republic,,,,,,,,,
ACH-14 advanced combat helmet,Combat helmet,,Alliance to Restore the Republic,,,,,,,,,
Action VI bulk transport,Bulk freighter,,Galactic Empire,,,,,,,,,
Acushnet,Frigate,,Ohnaka Gang,,,,,,,,,
AD-4M,,,Resistance,,,,,,,,,Administrative droid
AD-97R,,,Galactic Empire,,,,,,,,,Probe droid
ADGT-1500 engine,Engine,,Galactic Empire,,,,,,,,,
Adi Gallia's Jedi Starfighter,Starfighter,,Jedi Order,,,,,,,,,
AG-2G quad laser cannon,Quad laser cannon,,Alliance to Restore the Republic,,,,,,,,,
Aggressive ReConnaissance-170 starfighter,Heavy assault starfighter/bombers,,Galactic Republic,,,,,,,,,
Ahsoka Tano's corvette,Corvette,,Phoenix Cell,,,,,,,,,
Ahsoka Tano's Eta-2 Actis-class interceptor,Starfighter,,Jedi Order,,,,,,,,,
Ahsoka's Delta-7B Jedi Starfighter,Starfighter,,Jedi Order,,,,,,,,,
Ainik-class scientific survey vessel,Survey vessel,,Alliance to Restore the Republic,,,,,,,,,
AJ^6 cyborg construct,Cybernetic implant,,Galactic Republic,,,,,,,,,
Aka'jor-class shuttle,Shuttle,,New Mandalorians,,,,,,,,,
Akar-Deshu's Eta-2 Actis-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
All Terrain Anti Aircraft,Walker,,Galactic Empire,,,,,,,,,
All Terrain Armored Cannon,Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Armored Cargo Transport,Armed cargo walker,,Galactic Empire,,,,,,,,,
All Terrain Armored Transport,Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Armored Transport (Galactic Civil War),Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Armored Transport (Prototype),Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Attack Pod,Pod walker,,Galactic Republic,,,,,,,,,
All Terrain Defense Pod,Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Defense Turret,Walker,,Galactic Empire,,,,,,,,,
All Terrain Ewok Transport,Walker,,Hunters of the Outer Rim,,,,,,,,,
All Terrain Force Reconnaissance Walker,Walker,,Galactic Republic,,,,,,,,,
All Terrain Heavy Hauler,Tug walker,,First Order,,,,,,,,,
All Terrain MegaCaliber Six,Walker,,First Order,,,,,,,,,
All Terrain Open Transport,Walker,,Galactic Republic,,,,,,,,,
All Terrain Personal Transport,Walker,,Galactic Empire,,,,,,,,,
All Terrain Reconnaissance Transport,Walker,,Galactic Republic,,,,,,,,,
All Terrain Scout Transport,Combat walker,,Galactic Empire,,,,,,,,,
All Terrain Tactical Enforcer,Walker,,Galactic Republic,,,,,,,,,
Alliance Light Stealth Armor,Stealth armor,,Alliance to Restore the Republic,,,,,,,,,
Alpha-3 Nimbus-class V-wing starfighter,Starfighter,,Galactic Republic,,,,,,,,,
Alpha-class Xg-1 Star Wing,Starfighter,,Galactic Empire,,,,,,,,,
AM-719 speeder,Speeder,,House of Organa,,,,,,,,,
Amalthea,Star Cruiser,,Alliance to Restore the Republic,,,,,,,,,
Amity,Battleship,,New Republic,,,,,,,,,
AN-PHC 18 holonet transceiver,HoloNet transceiver,,Galactic Empire,,,,,,,,,
Anakin Skywalker's Acclamator-class assault ship (Teth),Assault ship,,Galactic Republic,,,,,,,,,
Anakin Skywalker's Delta-7B Aethersprite-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
Anakin Skywalker's Eta-2 Actis-class interceptor,Starfighter,,Jedi Order,,,,,,,,,
Anakin Skywalker's Podracer,Repulsorcraft,,Anakin Skywalker,,,,,,,,,
Anakin Skywalker’s N-1 starfighter,Starfighter,,Royal House of Naboo,,,,,,,,,
Anakin's shuttle,Shuttle,,Jedi Order,,,,,,,,,
ANc 2.7 tracking computer,Targeting computer,,Alliance to Restore the Republic,,,,,,,,,
Andor family hauler,Hauler,,Andor family,,,,,,,,,
Anodyne (Nebulon-C),Frigate,,New Republic,,,,,,,,,
Antarra,Multi-purpose transport,,Alliance to Restore the Republic,,,,,,,,,
AO-1 orbital assault pod,Orbital assault pod,,Galactic Republic,,,,,,,,,
Ap'lek's Mandalorian executioner vibro-ax,Mandalorian executioner's vibro-ax,,First Order,,,,,,,,,
AP-5,,,Galactic Republic,Masculine programming,,,,,,,,Protocol droid
AP-M1 armor piercing grenade,Grenade,,Galactic Republic,,,,,,,,,
Apailana's Promise,Gunship,,Alliance to Restore the Republic,,,,,,,,,
AQ-series battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
AR-L5,,,Droid Depot,,,,,,,,,Astromech droid
Arakyd KX logic module package,Logic module package,,Galactic Empire,,,,,,,,,
ARC starfighter line,Heavy assault starfighter/bombers,,Galactic Republic,,,,,,,,,
ARC-40b Scout-Reconnaissance Fighter,Scout-Reconnaissance Fighter,,Galactic Republic,,,,,,,,,
Ardency,Star Cruiser,,Resistance,,,,,,,,,
Ark Angel II,Heavy duty lifter,,Chelli Lona Aphra's crew,,,,,,,,,
Armored Assault Tank Mk I,Repulsorlift tank vehicle,,Trade Federation,,,,,,,,,
Arquitens-class command cruiser,Light cruiser,,Galactic Empire,,,,,,,,,
Arquitens-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
Arunskin 75D skimmer,Skimmer,,Civilian,,,,,,,,,
ARX-T3 Suncutter light interceptor,Starfighter,,Galactic Empire,,,,,,,,,
Ascent,Star Destroyer,,Galactic Empire,,,,,,,,,
ASP-7 labor droid,,,Galactic Empire,,,,,,,,,Labor droid
ASP-series labor droid,,,Galactic Republic,,,,,,,,,Labor droid
Assault Frigate Mark II,Frigate,,Alliance to Restore the Republic,,,,,,,,,
Assertor,Star Dreadnought,,Galactic Empire,,,,,,,,,
Assertor-class Star Dreadnought,Star Dreadnought,,Galactic Empire,,,,,,,,,
Assurance,Corvette,,Galactic Republic,,,,,,,,,
AT-ST Raider,Walker,,Klatooinian raiders,,,,,,,,,
AT-TE 636,Walker,,Galactic Republic,,,,,,,,,
ATAT300,Walker,,Galactic Republic,,,,,,,,,
Atlatl,Ranged/bludgeoning weapon,,Amidalans,,,,,,,,,
Auric,Transport,,Alliance to Restore the Republic,,,,,,,,,
Aurora (MC80 Star Cruiser),Star Cruiser,,Alliance to Restore the Republic,,,,,,,,,
AV-7 Anti-vehicle Artillery Cannon,Self-propelled artillery cannon,,Galactic Republic,,,,,,,,,
Kom'rk-class fighter/transport,Combat transport,,Death Watch,,,,,,,,,
Axial superlaser,Superlaser,,Sith Eternal,,,,,,,,,
Axis droid leader,,,Vanguard Axis,,It/its,,,,"Between 19 BBY and 18 BBY, Axis Base",,,
AZ-series surgical assistant droid,,,Kaminoan government,,,,,,,,,Medical droid
AZI-345211896246498721347,,,Kaminoan government,,He/him,,,,,,,Medical droid
B-3PO,,,,,She/her,,,,,,,Protocol droid
B-R72,,,Droid Depot,,,,,,,,,Loading droid
B-U4D,,,Resistance,Masculine programming,,,,,,,,Loading droid
B-wing heavy assault starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
B0-LT,,,,,,,,Batuu,,,,Power droid
B1 recon droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
B1 repeater blaster droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
B1-268,,,Confederacy of Independent Systems,Masculine programming,,,,,"2 BBY,",,,Battle droid
B1-series battle droid,,,Trade Federation,Masculine programming,,,,"Geonosian droid factories, Geonosis",,,,Battle droid
B1-series rocket battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
B2 groundmech,,,Andor family,,,,,,,,,Groundmech
B2-HA super battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
B2-RP battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
B2-series super battle droid,,,Techno Union,Masculine programming,,,,Geonosis,,,,Battle droid
B22,Blaster pistol,,Galactic Empire,,,,,,,,,
B2EMO,,,Andor family,Masculine programming,He/him,,,Ferrix,,,,Salvage assist unit
B3 battle droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
B5-SL,,,Droid Depot,,,,,,,,,Astromech droid
B7-N5,,,Fey Zara,,She/her,,,,,,,Protocol droid
B9-DT,,,Galactic Empire (Formerly),,He/him,,,,,,,Astromech droid
Bacta tank,Medical device,,Galactic Republic,,,,,,,,,
Baleen-class heavy freighter,Bulk freighter,,Han Solo's shipping company,,,,,,,,,
BALK1,,,Galactic Empire (formerly),,,,,,,,,Probe droid
Balutar-class swoop,Speeder bike,,New Mandalorians,,,,,,,,,
Bantha Poodoo,Gunship,,Galactic Republic,,,,,,,,,
Bantha-II cargo skiff,Repulsorlift skiff,,Hutt Clan,,,,,,,,,
Baobab EZ3 Airbrush,Airbrush,,Clan Wren,,,,,,,,,
BARC speeder,Speeder bike,,Galactic Republic,,,,,,,,,
Barriss Offee's Delta-7B Aethersprite-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
Bastinade,Multi-purpose troop-transport,,Galactic Empire,,,,,,,,,
Battlesphere,Core ship,,Confederacy of Independent Systems,,,,,,,,,
Baze's repeating cannon,Heavy repeater cannon,,Alliance to Restore the Republic,,,,,,,,,
BB-8,,,New Republic,Masculine programming,He/him,,,Hosnian Prime,,,,Astromech droid
BB-9E,,,First Order,,He/him,,,,,,,Astromech droid
BB-series astromech droid,,,New Republic,,,,,,,,,Astromech droid
BD explorer droid,,,Jedi Order,,,,,,,,,Explorer droid
BD-1,,,Jedi Order,Masculine programming,,,,,,,,Explorer droid
BD-1 Cutter vibro-ax,Vibro-ax,,Jabba's criminal empire,,,,,,,,,
BD-15959,,,Confederacy of Independent Systems,Masculine programming,,,,,19 BBY,,,Battle droid
BD-3000 luxury droid,,,Galactic Republic,Feminine programming,,,,,,,,Secretary droid
BD-72,,,Hangar 3-5,Masculine programming,,,,,,,,Explorer droid
Beedee-Beedee,,,Resistance,,,,,,,,,Astromech droid
Beetoo,,,Jocasta Nu's cache,,,,,,"c. 19 BBY,",,,Astromech droid
Beetu Deetu,,,Bedlam Raiders,Masculine programming,They/them,,,,"9 BBY,",,,Battle droid
Belbullab-22 heavy starfighter,Starfighter,,Confederacy of Independent Systems,,,,,,,,,
Bellator-class dreadnought,Dreadnought,,Galactic Empire,,,,,,,,,
Bellicose (Imperial-class),Star Destroyer,,Galactic Empire,,,,,,,,,
Berm One,Armed cargo walker,,Galactic Empire,,,,,,,,,
Beskad,Melee weapon,,Mandalorians,,,,,,,,,
Bestoon Legacy,Transport,,Sith Eternal,,,,,,,,,
BK-86,,,Dok-Ondar's Den of Antiquities,,,,,,,,,Assassin droid
"BKX-4 ""Shockwave"" Grenade",Grenade,,Combat engineers,,,,,,,,,
BL-155 Laser ax,Ax,,First Order,,,,,,,,,
Black Ice,Fuel transport,,Galactic Empire,,,,,,,,,
Black One,Starfighter,,Resistance,,,,,,,,,
Blade of Dorin,Starfighter,,Galactic Republic,,,,,,,,,
Blizzard 1,Combat walker,,Galactic Empire,,,,,,,,,
Blizzard 2,Combat walker,,Galactic Empire,,,,,,,,,
Blizzard 4,Combat walker,,Galactic Empire,,,,,,,,,
Blizzard 6,Combat walker,,Galactic Empire,,,,,,,,,
Blizzard 8,Combat walker,,Galactic Empire,,,,,,,,,
Blizzard 9,Combat walker,,Galactic Empire,,,,,,,,,
Blockade runner 0-9-9,Frigate,,Galactic Republic,,,,,,,,,
Blood Ambition,Gladiator I,,Galactic Empire,,,,,,,,,
Blood Crow,Cruiser,,Galactic Empire,,,,,,,,,
Bloodfin,Speeder bike,,Sith,,,,,,,,,
Blue Ace,Racer,,Ace Squadron,,,,,,,,,
Blue One,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
Blurrg-1120 holdout blaster,Hold-out blaster pistol,,Spectres,,,,,,,,,
Bo-Katan Kryze's Gauntlet starfighter,Combat transport,,Mandalorian resistance,,,,,,,,,
Bo-rifle,Blaster rifle/Electrostaff hybrid,,Lasan High Honor Guard,,,,,,,,,
Hyena-class Droid Fighter/Bomber,Starfighter,,Confederacy of Independent Systems,,,,,,,,,
Booma,Energy weapon,,Gungan Grand Army,,,,,,,,,
Booster BX,Light freighter,,Broken Horn Syndicate,,,,,,,,,
Bow,Weapon,,Bright Tree tribe,,,,,,,,,
Braha'tok-class gunship,Gunship,,Dornea,,,,,,,,,
Bravo Six,Starfighter,,Royal House of Naboo,,,,,,,,,
Bright Hope,Medium transport,,Alliance to Restore the Republic,,,,,,,,,
Broken Horn,Light cruiser,,Broken Horn Syndicate,,,,,,,,,
Broken Wing,Light freighter,,Beilert Valance's crew,,,,,,,,,
BT X-42 heavy flame projector,Flamethrower,,Galactic Republic,,,,,,,,,
BT-1,,,Galactic Empire,Masculine programming,He/him,,,,"c. 1 ABY,",,,Assassin droid
BT310 Quadra,Podracer,,Ben Quadinaros,,,,,,,,,
BTA-NR2 Y-wing starfighter,Starfighter/patrol craft,,New Republic,,,,,,,,,
BTL Y-wing starfighter,Assault Starfighter/Bomber,,Galactic Republic,,,,,,,,,
BTL-A4 LP,Starfighter/bomber,,Alliance to Restore the Republic,,,,,,,,,
BTL-B Y-wing starfighter/bomber,Starfighter-bomber,,Galactic Republic,,,,,,,,,
BTL-S3 Y-wing starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
BTY-180 carrier,Carrier,,Preox-Morlana,,,,,,,,,
BU-11,,,Hutt Clan,Masculine programming,,,,,,,,
Buirk'alor-class speeder,Speeder,,New Mandalorians,,,,,,,,,
BX-778,,,Solo family,Masculine programming,,,,Chandrila,,,,Kitchen droid
BX-series droid commando,,,Confederacy of Independent Systems,Masculine programing,,,,,,,,Battle droid
C-21 Highsinger,,,Krayt's Claw,Masculine programming,He/him,,,,,,,Combat droid
C-25 fragmentation grenade,Fragmentation grenade,,Galactic Empire,,,,,,,,,
C-35 fragmentation grenade,Fragmentation grenade,,Alliance to Restore the Republic,,,,,,,,,
C-3PO,,,Skywalker family,Masculine programming,He/him,,,Tatooine,"0 ABY,",,,Protocol droid
C-9979 landing craft,Heavy transport starship,,Trade Federation,,,,,,,,,
C-PH patrol speeder bike,Speeder bike,,Galactic Empire,,,,,,,,,
C-ROC Gozanti-class light cruiser,Light cruiser,,Confederacy of Independent Systems,,,,,,,,,
C-series,,,Galactic Republic,,,,,,,,,Astromech droid
C1 personal comlink,Comlink,,Galactic Empire,,,,,,,,,
C1-10P,,,Galactic Republic,Masculine programming,He/him,,,Lasan,,,,Astromech droid
C1-4B,,,Droid Depot,,,,,,,,,Class two droid
C1-D1,,,Santhe Corporation,,,,,,,,,Protocol droid
C1-series astromech droid,,,Galactic Republic,,,,,,,,,Astromech droid
C2-B9,,,Droid Depot,,,,,,,,,Astromech droid
C5 bartender droid,,,Alisandre Hotel,,,,,,,,,Bartender droid
CA-87 blaster,Shock blaster,,Jawas,,,,,,,,,
Caisson-class engineering troop carrier,Troop transport,,Alliance to Restore the Republic,,,,,,,,,
Callahan's E-wing,Starfighter,,New Republic,,,,,,,,,
Caltrop-5 chaff gun,Shrapnel weapon,,Galactic Republic,,,,,,,,,
CAM,,,Galactic Society of Creature Enthusiasts,,He/Him,,,,,,,Holocam droid
CAM-E,,,Galactic Society of Creature Enthusiasts,Feminine programming,,,,,,,,Holocam droid
Cantwell-class Arrestor Cruiser,Arrestor cruiser,,Galactic Empire,,,,,,,,,
Carrack-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
Carrion Spike,Corvette,,Galactic Empire,,,,,,,,,
Carson Teva's T-65B X-wing starfighter,Starfighter,,New Republic,,,,,,,,,
Cator,,,Jedi Order,,He/him,,,,"19 BBY, Coruscant",,,
CB-23,,,Resistance,Feminine programming,She/her,,,,,,,Astromech droid
CB-6B,,,Resistance,,,,,,,,,Astromech droid
Celerity,Star Destroyer,,Galactic Empire,,,,,,,,,
CH-33P,,,Galactic Republic,Masculine programming,,,,,"19 BBY,",,,Astromech droid
CH-33Z,,,New Republic,Masculine programming,,,,,"9 ABY,",,,
CH-83,,,Droid Depot,,,,,,,,,Astromech droid
Chain code,Identification marker,,Galactic Empire,,,,,,,,,
Chandrila Mistress,Shuttle,,Massassi Group,,,,,,,,,
Chewbacca's bowcaster,Bowcaster,,Kachirho Wookiee Militia,,,,,,,,,
Chimaera,Star Destroyer,,Galactic Empire,,,,,,,,,
CJ-9 electrified bo-rifle,Bo-rifle,,Lasan High Honor Guard,,,,,,,,,
CK-6 swoop bike,Swoop speeder bike,,Galactic Republic,,,,,,,,,
Class 546 Cruiser,Arquitens-class command cruiser,,Gideon's Imperial remnant,,,,,,,,,
Class A modular freight transport,Transport,,Byne Guild,,,,,,,,,
Class four container transport,Bulk freighter,,Galactic Empire,,,,,,,,,
Class-3 CFC,Carbon-freezing chamber,,Galactic Empire,,,,,,,,,
Class-4T3 power generator,Power generator,,Galactic Empire,,,,,,,,,
Class-5B1 duplex power generator,Power generator,,First Order,,,,,,,,,
Class-A thermal detonator,Thermal detonator,,Galactic Republic,,,,,,,,,
CLL-M2 binary loadlifter,,,Galactic Republic,,,,,,,,,Loadlifter droidBinary loadlifter
Clone trooper armor,Body armor,,Galactic Republic,,,,,,,,,
Clone Z-95 starfighter,Starfighter,,Galactic Republic,,,,,,,,,
Cobalt Belle,Bomber,,Resistance,,,,,,,,,
Cobalt Hammer,Bomber,,Resistance,,,,,,,,,
Cobalt Hornet,Bomber,,Resistance,,,,,,,,,
Cobalt Mare,Bomber,,Resistance,,,,,,,,,
Cobalt Scarab,Bomber,,Resistance,,,,,,,,,
Cobalt Treasure,Bomber,,Resistance,,,,,,,,,
Cobalt Wasp,Bomber,,Resistance,,,,,,,,,
Cobb Vanth's speeder,Repulsorcraft,,Freetown,,,,,,,,,
Cold-weather Mobile Heavy Cannon,Walker,,Galactic Empire,,,,,,,,,
Colossus,Space station,,Galactic Empire,,,,,,,,,
Comeuppance,Starfighter,,Spice Runners of Kijimi,,,,,,,,,
ComfortRide passenger airspeeder,Repulsorcraft,,Galactic Republic,,,,,,,,,
Command bridge droid,,,The Colossus,,,,,,,,,Protocol droid
Commando droid captain,,,Confederacy of Independent Systems,Masculine programing,,,,,,,,Battle droid
Concord,Battleship,,New Republic,,,,,,,,,
Conro's Star Destroyer,Star Destroyer,,Galactic Empire,,,,,,,,,
Consular-class cruiser (Charger c70 retrofit),Frigate,,Galactic Republic,,,,,,,,,
Consular-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
Controller FP,Vibro-weapon,,Galactic Empire,,,,,,,,,
COO-series cook droid,,,Alliance to Restore the Republic,,,,,,,,,Kitchen droid
Core ship,Lander,,Trade Federation,,,,,,,,,
Corona-class armed frigate,Combat frigate,,Confederacy of Independent Systems (proposed),,,,,,,,,
Coronet,Luxury spaceliner,,New Mandalorians,,,,,,,,,
Corpo rifle,Blaster rifle,,Pre-Mor EnforcementPre-Mor Security Inspection team,,,,,,,,,
Corvus (Raider II-class),Corvette,,Galactic Empire,,,,,,,,,
Cosinga-class Heavy Corvette,Heavy Corvette,,Galactic Empire,,,,,,,,,
Count Dooku's solar sailer,Solar sailer,,Confederacy of Independent Systems,,,,,,,,,
CR-2 heavy blaster pistol,Heavy blaster pistol,,Royal Naboo Security Forces,,,,,,,,,
CR-series,Corvette,,House of Organa,,,,,,,,,
CR70 corvette,Corvette,,House of Organa,,,,,,,,,
CR90 corvette,Corvette,,House of Organa,,,,,,,,,
Creveld-4 radial ion drive,Ion engine,,Confederacy of Independent Systems,,,,,,,,,
Crimson Bolide,Bomber,,Resistance,,,,,,,,,
Crimson Cutter,Bomber,,Resistance,,,,,,,,,
Crimson Dancer,Bomber,,Resistance,,,,,,,,,
Crimson Firehawk,Shuttle,,Durangos,,,,,,,,,
Crimson Hailstorm,Bomber,,Resistance,,,,,,,,,
Crimson Smiter,Bomber,,Resistance,,,,,,,,,
CRX-9 targeting computer,Targeting computer,,Galactic Empire,,,,,,,,,
CS-831,Multi-purpose transport,,Galactic Empire,,,,,,,,,
CSS-1 Corellian Star Shuttle,Star Shuttle,,Galactic Republic,,,,,,,,,
Cudgel,Multi-purpose transport,,Galactic Empire,,,,,,,,,
CZ-1,,,,,He/him,,,,,,,Secretary droid
CZ-246,Multi-purpose transport,,Galactic Empire,,,,,,,,,
Czerka-93U hunting rifle,Hunting rifle,,Office of the Constable,,,,,,,,,
D-11 water speeder,Luxury water craft,,Royal House of Naboo,,,,,,,,,
D-93 Incinerator flamethrower,Flamethrower,,Galactic Empire,,,,,,,,,
D-93w flame projector gun,Flamethrower,,First Order,,,,,,,,,
D-L1T,,,Galactic Empire,,,,,,"9 BBY, Coruscant",,,Sentry droid
D1-series aerial battle droid,,,Techno Union,Masculine programming,,,,,,,,Security droid
D4-R4B,,,Alliance to Restore the Republic,,It/its,,,,,,,Astromech droid
D6-L,,,New Republic,,,,,,"c. 4 ABY,",,,Astromech droid
Darius G-class freighter,Freighter,,First Order,,,,,,,,,
Darkflare,Scout ship,,Galactic Empire,,,,,,,,,
Darth Momin's superweapon,Superweapon,,Sith Order,,,,,,,,,
Darth Vader's black Eta-2 Actis-class interceptor,Starfighter,,Galactic Empire,,,,,,,,,
Darth Vader's green Eta-2 Actis-class interceptor,Starfighter,,Sith,,,,,,,,,
Darth Vader's TIE Advanced,Starfighter,,Galactic Empire,,,,,,,,,
Dathomirian poison dart,Poison dart,,NightsistersMother Talzin's clan,,,,,,,,,
