,from,where,text,movie_num,text_processed,trilogy,name,species,affiliation,gender,pronouns,hair,skin,homeworld,death,height,eyes,class,mass,apprentices,birth,families,parents,matched_name,community
61,anakin,INT. WATTO'S JUNK SHOP - DAY,Ahhhh it wasn't my fault really Sebulba flashed me with his vent ports. I actually saved the Pod mostly.,1,ahhhh it wasnt my fault really sebulba flashed me with his vent ports i actually saved the pod mostly,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
62,anakin,EXT. MOS ESPA - SLAVE QUARTERS - BACK YARD - DAY,This isn't the half of it. I'm entered in the Boonta Race tomorrow!,1,this isnt the half of it im entered in the boonta race tomorrow,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
63,anakin,EXT. MOS ESPA - SLAVE QUARTERS - BACK YARD - DAY,"Hey! Jar Jar! Stay away from those energy binders. If your hand gets caught in that beam, it will go numb for hours.",1,hey jar jar stay away from those energy binders if your hand gets caught in that beam it will go numb for hours,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
64,anakin,EXT. MOS ESPA - SLAVE QUARTERS - BACK YARD - DAY,It will.,1,it will,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
65,anakin,EXT. MOS ESPA - SLAVE QUARTERS - BACK YARD - DAY,It's working! It's working!,1,its working its working,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
66,anakin,EXT. SLAVE QUARTERS - BALCONY - NIGHT,There are so many! Do they all have a system of planets?,1,there are so many do they all have a system of planets,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
67,anakin,EXT. SLAVE QUARTERS - BALCONY - NIGHT,Has anyone been to them all?,1,has anyone been to them all,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
68,anakin,EXT. SLAVE QUARTERS - BALCONY - NIGHT,I want to be the first one to see them all Ouch!,1,i want to be the first one to see them all ouch,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
69,anakin,EXT. SLAVE QUARTERS - BALCONY - NIGHT,What are you doing?,1,what are you doing,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
70,anakin,INT. MOS ESPA - ARENA - MAIN HANGER - DAY,What did he mean by that?,1,what did he mean by that,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
