name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
49-v99 deflector,Deflector shield generator,,Galactic Empire,,,,,,,,,
4a-2r,,,Ohnaka Gang,,He/him,,,,,,,Protocol droid
4b-eg-6,,,Resistance,Masculine programming,He/him,,,,,,,Power droid
4d-m1n,,,Resistance,,She/her,,,,"34 ABY,",,,Protocol droid
4d6-j-a7,,,Galactic Empire,Feminine programming,She/her,,,,,,,Protocol droid
4j.4 fusial thrust engine,Engine,,Alliance to Restore the Republic,,,,,,,,,
4l4 fusial thrust engine,Engine,,Alliance to Restore the Republic,,,,,,,,,
5-l,,,First Order,,,,,,,,,Maintenance droid
5l5 fusial thrust engine,Engine,,Resistance,,,,,,,,,
6-2aug2 hunting rifle,Slugthrower rifle,,Lawquanes,,,,,,,,,
6-ra-7,,,Galactic Empire,Feminine programming,She/her,,,,,,,Protocol droid
614-ava speeder bike,Speeder bike,,Galactic Empire,,,,,,,,,
67e fusion core,Fusion generator,,Resistance,,,,,,,,,
6g-66,,,Resistance,,,,,,,,,Astromech droid
720 light freighter,Light freighter,,Citizens' Fleet,,,,,,,,,
74-z speeder bike,Speeder bike,,Galactic Republic,,,,,,,,,
773,Walker,,Galactic Republic,,,,,,,,,
773 firepuncher sniper rifle,Sniper rifle,,Galactic Republic,,,,,,,,,
88i twin light blaster cannon,Blaster cannon,,Galactic Empire,,,,,,,,,
8d-j8,,,Ronto Roasters,,He/him,,,,,,,Smelter droid
8d8,,,Hutt Clan,,He/him,,,Tatooine,,,,Smelter droid
9d9-s54 dianoga spy droid,,,Galactic Empire,,,,,,,,,Spy droid
a-180 blaster,Reconfigurable blaster,,Alliance to Restore the Republic,,,,,,,,,
a-a4b truckspeeder,Landspeeder,,White Worms,,,,,,,,,
a-a5 speeder truck,Speeder truck,,Alliance to Restore the Republic,,,,,,,,,
a-series,Blaster rifle,,Alliance to Restore the Republic,,,,,,,,,
a-wing starfighter,Starfighter,,Bail Organa's resistance movement,,,,,,,,,
a/sf-01 b-wing starfighter,Heavy assault starfighter,,Phoenix Cell,,,,,,,,,
a140 blaster pistol,Blaster pistol,,Onderon rebels,,,,,,,,,
a280 blaster rifle,Blaster rifle,,Galactic Empire,,,,,,,,,
a280-cfe convertible heavy blaster pistol,Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
a280c blaster rifle,Blaster rifle,,Galactic Empire,,,,,,,,,
a300 blaster rifle,Blaster rifle,,Pyke Syndicate,,,,,,,,,
a4-j4,,,,,She/her,,,,,,,Astromech droid
aa-70 observation and command speeder,Landspeeder,,Alliance to Restore the Republic,,,,,,,,,
aa-9 freighter-liner,Freighter,,Galactic Republic,,,,,,,,,
aat driver battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
ab-75 bo-rifle,Blaster rifle,,Lasan High Honor Guard,,,,,,,,,
abecederian line,Shuttles,,Galactic Republic,,,,,,,,,
absolution,Battlecruiser,,First Order,,,,,,,,,
acclamator-class transgalactic military assault ship,Cruiser-class,,Galactic Republic,,,,,,,,,
ach-14 advanced combat helmet,Combat helmet,,Alliance to Restore the Republic,,,,,,,,,
action vi bulk transport,Bulk freighter,,Galactic Empire,,,,,,,,,
acushnet,Frigate,,Ohnaka Gang,,,,,,,,,
ad-4m,,,Resistance,,,,,,,,,Administrative droid
ad-97r,,,Galactic Empire,,,,,,,,,Probe droid
adgt-1500 engine,Engine,,Galactic Empire,,,,,,,,,
adi gallia's jedi starfighter,Starfighter,,Jedi Order,,,,,,,,,
ag-2g quad laser cannon,Quad laser cannon,,Alliance to Restore the Republic,,,,,,,,,
aggressive reconnaissance-170 starfighter,Heavy assault starfighter/bombers,,Galactic Republic,,,,,,,,,
ahsoka tano's corvette,Corvette,,Phoenix Cell,,,,,,,,,
ahsoka tano's eta-2 actis-class interceptor,Starfighter,,Jedi Order,,,,,,,,,
ahsoka's delta-7b jedi starfighter,Starfighter,,Jedi Order,,,,,,,,,
ainik-class scientific survey vessel,Survey vessel,,Alliance to Restore the Republic,,,,,,,,,
aj^6 cyborg construct,Cybernetic implant,,Galactic Republic,,,,,,,,,
aka'jor-class shuttle,Shuttle,,New Mandalorians,,,,,,,,,
akar-deshu's eta-2 actis-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
all terrain anti aircraft,Walker,,Galactic Empire,,,,,,,,,
all terrain armored cannon,Combat walker,,Galactic Empire,,,,,,,,,
all terrain armored cargo transport,Armed cargo walker,,Galactic Empire,,,,,,,,,
all terrain armored transport,Combat walker,,Galactic Empire,,,,,,,,,
all terrain armored transport (galactic civil war),Combat walker,,Galactic Empire,,,,,,,,,
all terrain armored transport (prototype),Combat walker,,Galactic Empire,,,,,,,,,
all terrain attack pod,Pod walker,,Galactic Republic,,,,,,,,,
all terrain defense pod,Combat walker,,Galactic Empire,,,,,,,,,
all terrain defense turret,Walker,,Galactic Empire,,,,,,,,,
all terrain ewok transport,Walker,,Hunters of the Outer Rim,,,,,,,,,
all terrain force reconnaissance walker,Walker,,Galactic Republic,,,,,,,,,
all terrain heavy hauler,Tug walker,,First Order,,,,,,,,,
all terrain megacaliber six,Walker,,First Order,,,,,,,,,
all terrain open transport,Walker,,Galactic Republic,,,,,,,,,
all terrain personal transport,Walker,,Galactic Empire,,,,,,,,,
all terrain reconnaissance transport,Walker,,Galactic Republic,,,,,,,,,
all terrain scout transport,Combat walker,,Galactic Empire,,,,,,,,,
all terrain tactical enforcer,Walker,,Galactic Republic,,,,,,,,,
alliance light stealth armor,Stealth armor,,Alliance to Restore the Republic,,,,,,,,,
alpha-3 nimbus-class v-wing starfighter,Starfighter,,Galactic Republic,,,,,,,,,
alpha-class xg-1 star wing,Starfighter,,Galactic Empire,,,,,,,,,
am-719 speeder,Speeder,,House of Organa,,,,,,,,,
amalthea,Star Cruiser,,Alliance to Restore the Republic,,,,,,,,,
amity,Battleship,,New Republic,,,,,,,,,
an-phc 18 holonet transceiver,HoloNet transceiver,,Galactic Empire,,,,,,,,,
anakin skywalker's acclamator-class assault ship (teth),Assault ship,,Galactic Republic,,,,,,,,,
anakin skywalker's delta-7b aethersprite-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
anakin skywalker's eta-2 actis-class interceptor,Starfighter,,Jedi Order,,,,,,,,,
anakin skywalker's podracer,Repulsorcraft,,Anakin Skywalker,,,,,,,,,
anakin skywalker’s n-1 starfighter,Starfighter,,Royal House of Naboo,,,,,,,,,
anakin's shuttle,Shuttle,,Jedi Order,,,,,,,,,
anc 2.7 tracking computer,Targeting computer,,Alliance to Restore the Republic,,,,,,,,,
andor family hauler,Hauler,,Andor family,,,,,,,,,
anodyne (nebulon-c),Frigate,,New Republic,,,,,,,,,
antarra,Multi-purpose transport,,Alliance to Restore the Republic,,,,,,,,,
ao-1 orbital assault pod,Orbital assault pod,,Galactic Republic,,,,,,,,,
ap'lek's mandalorian executioner vibro-ax,Mandalorian executioner's vibro-ax,,First Order,,,,,,,,,
ap-5,,,Galactic Republic,Masculine programming,,,,,,,,Protocol droid
ap-m1 armor piercing grenade,Grenade,,Galactic Republic,,,,,,,,,
apailana's promise,Gunship,,Alliance to Restore the Republic,,,,,,,,,
aq-series battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
ar-l5,,,Droid Depot,,,,,,,,,Astromech droid
arakyd kx logic module package,Logic module package,,Galactic Empire,,,,,,,,,
arc starfighter line,Heavy assault starfighter/bombers,,Galactic Republic,,,,,,,,,
arc-40b scout-reconnaissance fighter,Scout-Reconnaissance Fighter,,Galactic Republic,,,,,,,,,
ardency,Star Cruiser,,Resistance,,,,,,,,,
ark angel ii,Heavy duty lifter,,Chelli Lona Aphra's crew,,,,,,,,,
armored assault tank mk i,Repulsorlift tank vehicle,,Trade Federation,,,,,,,,,
arquitens-class command cruiser,Light cruiser,,Galactic Empire,,,,,,,,,
arquitens-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
arunskin 75d skimmer,Skimmer,,Civilian,,,,,,,,,
arx-t3 suncutter light interceptor,Starfighter,,Galactic Empire,,,,,,,,,
ascent,Star Destroyer,,Galactic Empire,,,,,,,,,
asp-7 labor droid,,,Galactic Empire,,,,,,,,,Labor droid
asp-series labor droid,,,Galactic Republic,,,,,,,,,Labor droid
assault frigate mark ii,Frigate,,Alliance to Restore the Republic,,,,,,,,,
assertor,Star Dreadnought,,Galactic Empire,,,,,,,,,
assertor-class star dreadnought,Star Dreadnought,,Galactic Empire,,,,,,,,,
assurance,Corvette,,Galactic Republic,,,,,,,,,
at-st raider,Walker,,Klatooinian raiders,,,,,,,,,
at-te 636,Walker,,Galactic Republic,,,,,,,,,
atat300,Walker,,Galactic Republic,,,,,,,,,
atlatl,Ranged/bludgeoning weapon,,Amidalans,,,,,,,,,
auric,Transport,,Alliance to Restore the Republic,,,,,,,,,
aurora (mc80 star cruiser),Star Cruiser,,Alliance to Restore the Republic,,,,,,,,,
av-7 anti-vehicle artillery cannon,Self-propelled artillery cannon,,Galactic Republic,,,,,,,,,
kom'rk-class fighter/transport,Combat transport,,Death Watch,,,,,,,,,
axial superlaser,Superlaser,,Sith Eternal,,,,,,,,,
axis droid leader,,,Vanguard Axis,,It/its,,,,"Between 19 BBY and 18 BBY, Axis Base",,,
az-series surgical assistant droid,,,Kaminoan government,,,,,,,,,Medical droid
azi-345211896246498721347,,,Kaminoan government,,He/him,,,,,,,Medical droid
b-3po,,,,,She/her,,,,,,,Protocol droid
b-r72,,,Droid Depot,,,,,,,,,Loading droid
b-u4d,,,Resistance,Masculine programming,,,,,,,,Loading droid
b-wing heavy assault starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
b0-lt,,,,,,,,Batuu,,,,Power droid
b1 recon droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
b1 repeater blaster droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
b1-268,,,Confederacy of Independent Systems,Masculine programming,,,,,"2 BBY,",,,Battle droid
b1-series battle droid,,,Trade Federation,Masculine programming,,,,"Geonosian droid factories, Geonosis",,,,Battle droid
b1-series rocket battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
b2 groundmech,,,Andor family,,,,,,,,,Groundmech
b2-ha super battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
b2-rp battle droid,,,Confederacy of Independent Systems,Masculine programming,,,,,,,,Battle droid
b2-series super battle droid,,,Techno Union,Masculine programming,,,,Geonosis,,,,Battle droid
b22,Blaster pistol,,Galactic Empire,,,,,,,,,
b2emo,,,Andor family,Masculine programming,He/him,,,Ferrix,,,,Salvage assist unit
b3 battle droid,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
b5-sl,,,Droid Depot,,,,,,,,,Astromech droid
b7-n5,,,Fey Zara,,She/her,,,,,,,Protocol droid
b9-dt,,,Galactic Empire (Formerly),,He/him,,,,,,,Astromech droid
bacta tank,Medical device,,Galactic Republic,,,,,,,,,
baleen-class heavy freighter,Bulk freighter,,Han Solo's shipping company,,,,,,,,,
balk1,,,Galactic Empire (formerly),,,,,,,,,Probe droid
balutar-class swoop,Speeder bike,,New Mandalorians,,,,,,,,,
bantha poodoo,Gunship,,Galactic Republic,,,,,,,,,
bantha-ii cargo skiff,Repulsorlift skiff,,Hutt Clan,,,,,,,,,
baobab ez3 airbrush,Airbrush,,Clan Wren,,,,,,,,,
barc speeder,Speeder bike,,Galactic Republic,,,,,,,,,
barriss offee's delta-7b aethersprite-class light interceptor,Starfighter,,Jedi Order,,,,,,,,,
bastinade,Multi-purpose troop-transport,,Galactic Empire,,,,,,,,,
battlesphere,Core ship,,Confederacy of Independent Systems,,,,,,,,,
baze's repeating cannon,Heavy repeater cannon,,Alliance to Restore the Republic,,,,,,,,,
bb-8,,,New Republic,Masculine programming,He/him,,,Hosnian Prime,,,,Astromech droid
bb-9e,,,First Order,,He/him,,,,,,,Astromech droid
bb-series astromech droid,,,New Republic,,,,,,,,,Astromech droid
bd explorer droid,,,Jedi Order,,,,,,,,,Explorer droid
bd-1,,,Jedi Order,Masculine programming,,,,,,,,Explorer droid
bd-1 cutter vibro-ax,Vibro-ax,,Jabba's criminal empire,,,,,,,,,
bd-15959,,,Confederacy of Independent Systems,Masculine programming,,,,,19 BBY,,,Battle droid
bd-3000 luxury droid,,,Galactic Republic,Feminine programming,,,,,,,,Secretary droid
bd-72,,,Hangar 3-5,Masculine programming,,,,,,,,Explorer droid
beedee-beedee,,,Resistance,,,,,,,,,Astromech droid
beetoo,,,Jocasta Nu's cache,,,,,,"c. 19 BBY,",,,Astromech droid
beetu deetu,,,Bedlam Raiders,Masculine programming,They/them,,,,"9 BBY,",,,Battle droid
belbullab-22 heavy starfighter,Starfighter,,Confederacy of Independent Systems,,,,,,,,,
bellator-class dreadnought,Dreadnought,,Galactic Empire,,,,,,,,,
bellicose (imperial-class),Star Destroyer,,Galactic Empire,,,,,,,,,
berm one,Armed cargo walker,,Galactic Empire,,,,,,,,,
beskad,Melee weapon,,Mandalorians,,,,,,,,,
bestoon legacy,Transport,,Sith Eternal,,,,,,,,,
bk-86,,,Dok-Ondar's Den of Antiquities,,,,,,,,,Assassin droid
bkx-4 shockwave grenade,Grenade,,Combat engineers,,,,,,,,,
bl-155 laser ax,Ax,,First Order,,,,,,,,,
black ice,Fuel transport,,Galactic Empire,,,,,,,,,
black one,Starfighter,,Resistance,,,,,,,,,
blade of dorin,Starfighter,,Galactic Republic,,,,,,,,,
blizzard 1,Combat walker,,Galactic Empire,,,,,,,,,
blizzard 2,Combat walker,,Galactic Empire,,,,,,,,,
blizzard 4,Combat walker,,Galactic Empire,,,,,,,,,
blizzard 6,Combat walker,,Galactic Empire,,,,,,,,,
blizzard 8,Combat walker,,Galactic Empire,,,,,,,,,
blizzard 9,Combat walker,,Galactic Empire,,,,,,,,,
blockade runner 0-9-9,Frigate,,Galactic Republic,,,,,,,,,
blood ambition,Gladiator I,,Galactic Empire,,,,,,,,,
blood crow,Cruiser,,Galactic Empire,,,,,,,,,
bloodfin,Speeder bike,,Sith,,,,,,,,,
blue ace,Racer,,Ace Squadron,,,,,,,,,
blue one,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
blurrg-1120 holdout blaster,Hold-out blaster pistol,,Spectres,,,,,,,,,
bo-katan kryze's gauntlet starfighter,Combat transport,,Mandalorian resistance,,,,,,,,,
bo-rifle,Blaster rifle/Electrostaff hybrid,,Lasan High Honor Guard,,,,,,,,,
hyena-class droid fighter/bomber,Starfighter,,Confederacy of Independent Systems,,,,,,,,,
booma,Energy weapon,,Gungan Grand Army,,,,,,,,,
booster bx,Light freighter,,Broken Horn Syndicate,,,,,,,,,
bow,Weapon,,Bright Tree tribe,,,,,,,,,
braha'tok-class gunship,Gunship,,Dornea,,,,,,,,,
bravo six,Starfighter,,Royal House of Naboo,,,,,,,,,
bright hope,Medium transport,,Alliance to Restore the Republic,,,,,,,,,
broken horn,Light cruiser,,Broken Horn Syndicate,,,,,,,,,
broken wing,Light freighter,,Beilert Valance's crew,,,,,,,,,
bt x-42 heavy flame projector,Flamethrower,,Galactic Republic,,,,,,,,,
bt-1,,,Galactic Empire,Masculine programming,He/him,,,,"c. 1 ABY,",,,Assassin droid
bt310 quadra,Podracer,,Ben Quadinaros,,,,,,,,,
bta-nr2 y-wing starfighter,Starfighter/patrol craft,,New Republic,,,,,,,,,
btl y-wing starfighter,Assault Starfighter/Bomber,,Galactic Republic,,,,,,,,,
btl-a4 lp,Starfighter/bomber,,Alliance to Restore the Republic,,,,,,,,,
btl-b y-wing starfighter/bomber,Starfighter-bomber,,Galactic Republic,,,,,,,,,
btl-s3 y-wing starfighter,Starfighter,,Alliance to Restore the Republic,,,,,,,,,
bty-180 carrier,Carrier,,Preox-Morlana,,,,,,,,,
bu-11,,,Hutt Clan,Masculine programming,,,,,,,,
buirk'alor-class speeder,Speeder,,New Mandalorians,,,,,,,,,
bx-778,,,Solo family,Masculine programming,,,,Chandrila,,,,Kitchen droid
bx-series droid commando,,,Confederacy of Independent Systems,Masculine programing,,,,,,,,Battle droid
c-21 highsinger,,,Krayt's Claw,Masculine programming,He/him,,,,,,,Combat droid
c-25 fragmentation grenade,Fragmentation grenade,,Galactic Empire,,,,,,,,,
c-35 fragmentation grenade,Fragmentation grenade,,Alliance to Restore the Republic,,,,,,,,,
c-3po,,https://swapi.info/api/species/2,Skywalker family,Masculine programming,He/him,n/a,gold,Tatooine,"0 ABY,",,yellow,Protocol droid
c-9979 landing craft,Heavy transport starship,,Trade Federation,,,,,,,,,
c-ph patrol speeder bike,Speeder bike,,Galactic Empire,,,,,,,,,
c-roc gozanti-class light cruiser,Light cruiser,,Confederacy of Independent Systems,,,,,,,,,
c-series,,,Galactic Republic,,,,,,,,,Astromech droid
c1 personal comlink,Comlink,,Galactic Empire,,,,,,,,,
c1-10p,,,Galactic Republic,Masculine programming,He/him,,,Lasan,,,,Astromech droid
c1-4b,,,Droid Depot,,,,,,,,,Class two droid
c1-d1,,,Santhe Corporation,,,,,,,,,Protocol droid
c1-series astromech droid,,,Galactic Republic,,,,,,,,,Astromech droid
c2-b9,,,Droid Depot,,,,,,,,,Astromech droid
c5 bartender droid,,,Alisandre Hotel,,,,,,,,,Bartender droid
ca-87 blaster,Shock blaster,,Jawas,,,,,,,,,
caisson-class engineering troop carrier,Troop transport,,Alliance to Restore the Republic,,,,,,,,,
callahan's e-wing,Starfighter,,New Republic,,,,,,,,,
caltrop-5 chaff gun,Shrapnel weapon,,Galactic Republic,,,,,,,,,
cam,,,Galactic Society of Creature Enthusiasts,,He/Him,,,,,,,Holocam droid
cam-e,,,Galactic Society of Creature Enthusiasts,Feminine programming,,,,,,,,Holocam droid
cantwell-class arrestor cruiser,Arrestor cruiser,,Galactic Empire,,,,,,,,,
carrack-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
carrion spike,Corvette,,Galactic Empire,,,,,,,,,
carson teva's t-65b x-wing starfighter,Starfighter,,New Republic,,,,,,,,,
cator,,,Jedi Order,,He/him,,,,"19 BBY, Coruscant",,,
cb-23,,,Resistance,Feminine programming,She/her,,,,,,,Astromech droid
cb-6b,,,Resistance,,,,,,,,,Astromech droid
celerity,Star Destroyer,,Galactic Empire,,,,,,,,,
ch-33p,,,Galactic Republic,Masculine programming,,,,,"19 BBY,",,,Astromech droid
ch-33z,,,New Republic,Masculine programming,,,,,"9 ABY,",,,
ch-83,,,Droid Depot,,,,,,,,,Astromech droid
chain code,Identification marker,,Galactic Empire,,,,,,,,,
chandrila mistress,Shuttle,,Massassi Group,,,,,,,,,
chewbacca's bowcaster,Bowcaster,,Kachirho Wookiee Militia,,,,,,,,,
chimaera,Star Destroyer,,Galactic Empire,,,,,,,,,
cj-9 electrified bo-rifle,Bo-rifle,,Lasan High Honor Guard,,,,,,,,,
ck-6 swoop bike,Swoop speeder bike,,Galactic Republic,,,,,,,,,
class 546 cruiser,Arquitens-class command cruiser,,Gideon's Imperial remnant,,,,,,,,,
class a modular freight transport,Transport,,Byne Guild,,,,,,,,,
class four container transport,Bulk freighter,,Galactic Empire,,,,,,,,,
class-3 cfc,Carbon-freezing chamber,,Galactic Empire,,,,,,,,,
class-4t3 power generator,Power generator,,Galactic Empire,,,,,,,,,
class-5b1 duplex power generator,Power generator,,First Order,,,,,,,,,
class-a thermal detonator,Thermal detonator,,Galactic Republic,,,,,,,,,
cll-m2 binary loadlifter,,,Galactic Republic,,,,,,,,,Loadlifter droidBinary loadlifter
clone trooper armor,Body armor,,Galactic Republic,,,,,,,,,
clone z-95 starfighter,Starfighter,,Galactic Republic,,,,,,,,,
cobalt belle,Bomber,,Resistance,,,,,,,,,
cobalt hammer,Bomber,,Resistance,,,,,,,,,
cobalt hornet,Bomber,,Resistance,,,,,,,,,
cobalt mare,Bomber,,Resistance,,,,,,,,,
cobalt scarab,Bomber,,Resistance,,,,,,,,,
cobalt treasure,Bomber,,Resistance,,,,,,,,,
cobalt wasp,Bomber,,Resistance,,,,,,,,,
cobb vanth's speeder,Repulsorcraft,,Freetown,,,,,,,,,
cold-weather mobile heavy cannon,Walker,,Galactic Empire,,,,,,,,,
colossus,Space station,,Galactic Empire,,,,,,,,,
comeuppance,Starfighter,,Spice Runners of Kijimi,,,,,,,,,
comfortride passenger airspeeder,Repulsorcraft,,Galactic Republic,,,,,,,,,
command bridge droid,,,The Colossus,,,,,,,,,Protocol droid
commando droid captain,,,Confederacy of Independent Systems,Masculine programing,,,,,,,,Battle droid
concord,Battleship,,New Republic,,,,,,,,,
conro's star destroyer,Star Destroyer,,Galactic Empire,,,,,,,,,
consular-class cruiser (charger c70 retrofit),Frigate,,Galactic Republic,,,,,,,,,
consular-class light cruiser,Light cruiser,,Galactic Republic,,,,,,,,,
controller fp,Vibro-weapon,,Galactic Empire,,,,,,,,,
coo-series cook droid,,,Alliance to Restore the Republic,,,,,,,,,Kitchen droid
core ship,Lander,,Trade Federation,,,,,,,,,
corona-class armed frigate,Combat frigate,,Confederacy of Independent Systems (proposed),,,,,,,,,
coronet,Luxury spaceliner,,New Mandalorians,,,,,,,,,
corpo rifle,Blaster rifle,,Pre-Mor EnforcementPre-Mor Security Inspection team,,,,,,,,,
corvus (raider ii-class),Corvette,,Galactic Empire,,,,,,,,,
cosinga-class heavy corvette,Heavy Corvette,,Galactic Empire,,,,,,,,,
count dooku's solar sailer,Solar sailer,,Confederacy of Independent Systems,,,,,,,,,
cr-2 heavy blaster pistol,Heavy blaster pistol,,Royal Naboo Security Forces,,,,,,,,,
cr-series,Corvette,,House of Organa,,,,,,,,,
cr70 corvette,Corvette,,House of Organa,,,,,,,,,
cr90 corvette,Corvette,,House of Organa,,,,,,,,,
creveld-4 radial ion drive,Ion engine,,Confederacy of Independent Systems,,,,,,,,,
crimson bolide,Bomber,,Resistance,,,,,,,,,
crimson cutter,Bomber,,Resistance,,,,,,,,,
crimson dancer,Bomber,,Resistance,,,,,,,,,
crimson firehawk,Shuttle,,Durangos,,,,,,,,,
crimson hailstorm,Bomber,,Resistance,,,,,,,,,
crimson smiter,Bomber,,Resistance,,,,,,,,,
crx-9 targeting computer,Targeting computer,,Galactic Empire,,,,,,,,,
cs-831,Multi-purpose transport,,Galactic Empire,,,,,,,,,
css-1 corellian star shuttle,Star Shuttle,,Galactic Republic,,,,,,,,,
cudgel,Multi-purpose transport,,Galactic Empire,,,,,,,,,
cz-1,,,,,He/him,,,,,,,Secretary droid
cz-246,Multi-purpose transport,,Galactic Empire,,,,,,,,,
czerka-93u hunting rifle,Hunting rifle,,Office of the Constable,,,,,,,,,
d-11 water speeder,Luxury water craft,,Royal House of Naboo,,,,,,,,,
d-93 incinerator flamethrower,Flamethrower,,Galactic Empire,,,,,,,,,
d-93w flame projector gun,Flamethrower,,First Order,,,,,,,,,
d-l1t,,,Galactic Empire,,,,,,"9 BBY, Coruscant",,,Sentry droid
d1-series aerial battle droid,,,Techno Union,Masculine programming,,,,,,,,Security droid
d4-r4b,,,Alliance to Restore the Republic,,It/its,,,,,,,Astromech droid
d6-l,,,New Republic,,,,,,"c. 4 ABY,",,,Astromech droid
darius g-class freighter,Freighter,,First Order,,,,,,,,,
darkflare,Scout ship,,Galactic Empire,,,,,,,,,
darth momin's superweapon,Superweapon,,Sith Order,,,,,,,,,
darth vader's black eta-2 actis-class interceptor,Starfighter,,Galactic Empire,,,,,,,,,
darth vader's green eta-2 actis-class interceptor,Starfighter,,Sith,,,,,,,,,
darth vader's tie advanced,Starfighter,,Galactic Empire,,,,,,,,,
dathomirian poison dart,Poison dart,,NightsistersMother Talzin's clan,,,,,,,,,
dauntless (imperial i-class),Star Destroyer,,Galactic Empire,,,,,,,,,
dawnbringer,Cruiser,,New Republic,,,,,,,,,
dbs-32c,,,Confederacy of Independent Systems,,It/its,,,,,,,Bomber
dbs-404,,,Confederacy of Independent Systems,,It/its,,,,"22 BBY, Geonosis",,,Starfighter
dby-827 heavy turbolaser turret,Turret,,Galactic Republic,,,,,,,,,
dc-12u beam rifle,Blaster rifle,,Galactic Republic,,,,,,,,,
dc-15a blaster carbine,Blaster carbine,,Galactic Republic,,,,,,,,,
dc-15a blaster rifle,Heavy blaster rifle,,Galactic Republic,,,,,,,,,
dc-17 repeater hand blaster,Heavy blaster pistol,,Galactic Republic,,,,,,,,,
dd-1 hover droid,,,Jedi Order,,,,,,,,,Training droid
dd-13 medical assistant droid,,,Galactic Republic,,,,,,,,,Medical droid
